Partnership_ID,Program_Year,Verified,Program_ID,Organizational_ID,School_ID,Program_Name,Sch_Org_Name,School_Name,Primary_Org_Site_Contact_Email,Primary_Sch_Based_Contact_Name,Service_Type,O_Primary_Address,O_City,O_Zip,O_Type,Service_Delivery_Method,School_ID,TLT,School_Code,S_Primary_Contact_Name,S_Primary_Contact_Email,S_Street_Address,S_City,S_Zip,S_Principal_email,School Grades,Language_Capability,Rating_Q1,Partnership_Agreement,Program_Date_Last_Updated,Partnership_Date_Last_Updated,Sch_Date_Updated,Expand_to_New_Sites,Active,Program_Type,School_Approval_Status,Service_Delivery_Time_Afterschool,Service_Delivery_Time_School Vacation,Service_Delivery_Time_Summer,Service_Delivery_Time_Weekend,Service_Delivery_Time_Before School,Service_Delivery_Time_School Day,Service_Delivery_Time_School Day (Non-Class Time),Service_Delivery_Time_School Day (Class Time),O_501c3_Certification,O_Liability_Insurance,O_CORI_Policy,Grade_Level_Served_Pre-School,Grade_Level_Served_Elementary,Grade_Level_Served_Middle School,Grade_Level_Served_High School,Service_Associated_Fees_Student,School_Grades_Served_PreK,School_Grades_Served_K,School_Grades_Served_1,School_Grades_Served_2,School_Grades_Served_3,School_Grades_Served_4,School_Grades_Served_5,School_Grades_Served_6,School_Grades_Served_7,School_Grades_Served_8,School_Grades_Served_9,School_Grades_Served_10,School_Grades_Served_11,School_Grades_Served_12,EFA_School,tbl_organizations_Temp_CCR,tbl_organizations_Temp_PhyHealthCollab,tbl_organizations_Temp_BH,Expand_Partnerships,tbl_organizations_Temp_Funded_Partners,Expanding_Site_Capacity,P_Grades_Served_K1(2),P_Grades_Served_PreK,P_Grades_Served_K0,P_Grades_Served_K1,P_Grades_Served_K,P_Grades_Served_K2,P_Grades_Served_1,P_Grades_Served_2,P_Grades_Served_3,P_Grades_Served_4,P_Grades_Served_5,P_Grades_Served_6,P_Grades_Served_7,P_Grades_Served_8,P_Grades_Served_9,P_Grades_Served_10,P_Grades_Served_11,P_Grades_Served_12,P_Days_of_Operation_M,P_Days_of_Operation_T,P_Days_of_Operation_W,P_Days_of_Operation_Th,P_Days_of_Operation_F,P_Days_of_Operation_S,P_Days_of_Operation_Su,Schools_AssociatedFees,Days_Multiselect_M,Days_Multiselect_Tu,Days_Multiselect_W,Days_Multiselect_Th,Days_Multiselect_F,Days_Multiselect_Sa,Days_Multiselect_Su,Grades_Multiselect_K0,Grades_Multiselect_K1,Grades_Multiselect_K2,Grades_Multiselect_1,Grades_Multiselect_2,Grades_Multiselect_3,Grades_Multiselect_4,Grades_Multiselect_5,Grades_Multiselect_6,Grades_Multiselect_7,Grades_Multiselect_8,Grades_Multiselect_9,Grades_Multiselect_10,Grades_Multiselect_11,Grades_Multiselect_12,Grades_Multiselect_AltEd,Partnership_Fund,Direct_Service,Tier_Multiselect_Tier1,Tier_Multiselect_Tier2,Tier_Multiselect_Tier3,GradeLevel_Multiselect_PreSchool,GradeLevel_Multiselect_Elementary,GradeLevel_Multiselect_Middle,GradeLevel_Multiselect_HighSchool,GradeLevel_Multiselect_AltEdu,GradeLevel_Multiselect_PostSec,DeliveryTime_Multiselect_After,DeliveryTime_Multiselect_Before,DeliveryTime_Multiselect_SchoolDayIn,DeliveryTime_Multiselect_SchoolDayOut,DeliveryTime_Multiselect_SchoolVacation,DeliveryTime_Multiselect_Summer,DeliveryTime_Multiselect_Weekend,Transportation,Grade_Multiselect_K0,Grade_Multiselect_K1,Grade_Multiselect_K2,Grade_Multiselect_1,Grade_Multiselect_2,Grade_Multiselect_3,Grade_Multiselect_4,Grade_Multiselect_5,Grade_Multiselect_6,Grade_Multiselect_7,Grade_Multiselect_8,Grade_Multiselect_9,Grade_Multiselect_10,Grade_Multiselect_11,Grade_Multiselect_12,Grade_Multiselect_AltEdu,Homelessness,SWD_Support,TitleIXRace_Participation,TitleIXGender_Participation,Current_Partnerships,CORI_SORI
6838,2017-2018,Current Partner,33,176,51,Playworks Coach Service,Playworks,Edison K-8 School,svarano@bostonpublicschools.org,,"Social, Emotional & Behavioral Health",67 Kemble Street; Suite 3.6,Boston,02119,Other School-Community Partner,Small Groups,51,3,4178,,edison@bostonpublicschools.org,60 Glenmont Road,Brighton,02135,svarano@bostonpublicschools.org,K1-8,"English, Spanish",Excellent,,1/3/2019 3:36:34 PM,11/7/2017 3:05:51 PM,12/7/2018 6:15:31 PM,TRUE,Yes,School-based,Approved,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,0,Yes,No,No,Yes,Yes
6839,2017-2018,Not Yet Verified,33,176,113,Playworks Coach Service,Playworks,Murphy K-8 School,csheppeck@bostonpublicschools.org,,"Social, Emotional & Behavioral Health",67 Kemble Street; Suite 3.6,Boston,02119,Other School-Community Partner,Small Groups,113,5,4400,,murphy@bostonpublicschools.org,1 Worrell Street,Dorchester,02122,csheppeck@bostonpublicschools.org,K1-8,"English, Spanish",Not Yet Rated,,1/3/2019 3:36:34 PM,9/28/2017 4:59:23 PM,12/7/2018 6:15:31 PM,TRUE,Yes,School-based,Approved,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,0,Yes,No,No,Yes,Yes
6840,2017-2018,Current Partner,33,176,135,Playworks Coach Service,Playworks,Trotter Innovation School,mnolan@bostonpublicschools.org,,"Social, Emotional & Behavioral Health",67 Kemble Street; Suite 3.6,Boston,02119,Other School-Community Partner,Small Groups,135,5,4580,,trotter@bostonpublicschools.org,135 Humboldt Avenue,dorchester,02121,sthomas@bostonpublicschools.org,K0-6,"English, Spanish",Excellent,,1/3/2019 3:36:34 PM,11/18/2017 3:23:35 PM,2/7/2019 7:56:31 PM,TRUE,Yes,School-based,Approved,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,0,Yes,No,No,Yes,Yes
6841,2017-2018,Not a Partner,33,176,64,Playworks Coach Service,Playworks,Greenwood K-8 School,kgandiaga@bostonpublicschools.org,,"Social, Emotional & Behavioral Health",67 Kemble Street; Suite 3.6,Boston,02119,Other School-Community Partner,Small Groups,64,3,4130,,sgreenwood@bostonpublicschools.org,186 Glenway Street,Dorchester,02121,kgandiaga@bostonpublicschools.org,K1-8,"English, Spanish",Good,,1/3/2019 3:36:34 PM,10/18/2018 3:47:41 PM,2/6/2019 5:56:53 PM,TRUE,Yes,School-based,Denied,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,0,Yes,No,No,Yes,Yes
6842,2017-2018,Current Partner,33,176,107,Playworks Coach Service,Playworks,Mendell Elementary School,jbott@bostonpublicschools.org,,"Social, Emotional & Behavioral Health",67 Kemble Street; Suite 3.6,Boston,02119,Other School-Community Partner,Small Groups,107,5,4370,,mendell@bostonpublicschools.org,164 School Street,Roxbury,02119,jbott@bostonpublicschools.org,K1-5,"English, Spanish",Good,,1/3/2019 3:36:34 PM,10/26/2017 3:42:59 PM,12/7/2018 6:15:31 PM,TRUE,Yes,School-based,Approved,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,0,Yes,No,No,Yes,Yes
7460,2017-2018,Current Partner,119,235,25,School Based Health Center Program,Boston Public Health Commission,Boston Community Leadership Academy,smccurbin@bphc.org,Dr. Francine Locker,"Social, Emotional & Behavioral Health",1010 Massachusetts Ave,Boston,02118,Government,,25,Redesign/Innovation,1195,Zayda Cruz-Gonzalez,boston@bostonpublicschools.org,655 Metropolitan Ave.,Hyde Park,02136,flocker@bostonpublicschools.org,9-12,,Excellent,,9/12/2018 5:08:26 PM,10/26/2017 1:57:41 PM,12/7/2018 6:15:31 PM,FALSE,Yes,School-based,Approved,No,No,No,No,No,No,No,Yes,,No,No,,,,,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
7461,2017-2018,Current Partner,119,235,29,School Based Health Center Program,Boston Public Health Commission,Boston Latin Academy,ewilcox@bphc.org,Christian Ekholm-Jacobson,"Social, Emotional & Behavioral Health",1010 Massachusetts Ave,Boston,02118,Government,,29,Transformation,1020,,edeluca@bostonpublicschools.org,205 Townsend Street,Dorchester,02121,cuchendu@bostonpublicschools.org,7-12,,Excellent,,9/12/2018 5:08:26 PM,10/12/2017 3:47:25 PM,12/7/2018 6:15:31 PM,FALSE,Yes,School-based,Approved,No,No,No,No,No,No,No,Yes,,No,No,,,,,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
7462,2017-2018,Not Yet Verified,119,235,33,School Based Health Center Program,Boston Public Health Commission,Brighton High School,HNichols@bphc.org,Robert Rametti,"Social, Emotional & Behavioral Health",1010 Massachusetts Ave,Boston,02118,Government,,33,Transformation,1040,,brighton@bostonpublicschools.org,25 Warren Street,Brighton,02135,rrametti@bostonpublicschools.org,9-12,,Not Yet Rated,,9/12/2018 5:08:26 PM,9/28/2017 4:59:35 PM,12/7/2018 6:15:31 PM,FALSE,Yes,School-based,Approved,No,No,No,No,No,No,No,Yes,,No,No,,,,,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
7463,2017-2018,Current Partner,119,235,34,School Based Health Center Program,Boston Public Health Commission,Burke High School,eblair@bphc.org,Lindsa McIntyre,"Social, Emotional & Behavioral Health",1010 Massachusetts Ave,Boston,02118,Government,,34,Transformation,1120,,burke@bostonpublicschools.org,60 Washington St.,Dorchester,02121,lmcintyre@bostonpublicschools.org,9-12,,Excellent,,9/12/2018 5:08:26 PM,10/19/2017 2:22:57 PM,1/30/2019 3:15:16 PM,FALSE,Yes,School-based,Approved,No,No,No,No,No,No,No,Yes,,No,No,,,,,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
7464,2017-2018,Current Partner,119,235,45,School Based Health Center Program,Boston Public Health Commission,Dearborn STEM Academy,lblake@bphc.org,"Teresa Rodriguez,","Social, Emotional & Behavioral Health",1010 Massachusetts Ave,Boston,02118,Government,,45,Transformation,1260,,dearborn@bostonpublicschools.org,60 Washington Street (enter at 60 Geneva Ave.),Dorchester,02121,dbrown@bostonpublicschools.org,6-10,,Not Yet Rated,,9/12/2018 5:08:26 PM,11/7/2017 6:51:59 PM,12/7/2018 6:15:31 PM,FALSE,Yes,School-based,Approved,No,No,No,No,No,No,No,Yes,,No,No,,,,,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
